1776575002,37.494944000000004
1776575017,39.35852
1776575032,39.054545454545455
1776575047,36.21818181818182
1776575062,22.49090909090909
1776575077,22.436363636363634
1776575092,22.436363636363634
1776575107,0.8727272727272727
1776575122,0.8727272727272727
1776575137,0.8727272727272727
1776575152,1.6545454545454545
1776575167,22.4
1776575182,22.4
1776575197,22.4
1776575212,0.01818181818181818
1776575227,0
1776575242,0
1776575257,0
1776575272,0.32727272727272727
1776575287,0.32727272727272727
1776575302,0.34545454545454546
1776575317,0.34545454545454546
1776575332,0.01818181818181818
1776575347,0.01818181818181818
1776575362,0
1776575377,0
1776575392,0
1776575407,0
1776575422,0
1776575437,0
1776575452,0.01818181818181818
1776575467,0.01818181818181818
1776575482,0.01818181818181818
1776575497,0
1776575512,22.4
1776575527,22.4
1776575542,22.4
1776575557,0
1776575572,0
1776575587,0
1776575602,0
1776575617,0
1776575632,0
1776575647,0
1776575662,0
1776575677,0
1776575692,0
1776575707,0
1776575722,0
1776575737,0
1776575752,0
1776575767,0
1776575782,0
1776575797,0
1776575812,0
1776575827,0.01818181818181818
1776575842,0.01818181818181818
1776575857,0.01818181818181818
1776575872,2.109090909090909
1776575887,2.090909090909091
1776575902,2.090909090909091
1776575917,2.090909090909091
1776575932,0.01818181818181818
1776575947,0.01818181818181818
1776575962,0.01818181818181818
1776575977,0.01818181818181818
1776575992,0
1776576007,0
1776576022,0
1776576037,0
1776576052,0
1776576067,0
1776576082,0
1776576097,0
1776576112,0
1776576127,0
1776576142,0
1776576157,0
1776576172,0
1776576187,0
1776576202,0
1776576217,0
1776576232,0
1776576247,22.363636363636363
1776576262,22.363636363636363
1776576277,22.363636363636363
1776576292,0
1776576307,0
1776576322,0
1776576337,0
1776576352,0
1776576367,0
1776576382,0
1776576397,0
1776576412,0
1776576427,0
1776576442,0
1776576457,0
1776576472,0
1776576487,0
1776576502,0
1776576517,0
1776576532,0
1776576547,0
1776576562,0
1776576577,0
1776576592,0
1776576607,0.07272727272727272
1776576622,0.07272727272727272
1776576637,0.07272727272727272
1776576652,0.07272727272727272
1776576667,0
1776576682,0
1776576697,0
1776576712,0
1776576727,0
1776576742,0
1776576757,0
1776576772,0
1776576787,0
1776576802,0
1776576817,0
1776576832,0
1776576847,0
1776576862,0
1776576877,0
1776576892,0
1776576907,0
1776576922,22.436363636363634
1776576937,22.436363636363634
1776576952,22.436363636363634
1776576967,22.436363636363634
1776576982,0
1776576997,0
1776577012,0
1776577027,0
1776577042,0
1776577057,0
1776577072,0
1776577087,0
1776577102,0
1776577117,0
1776577132,0
1776577147,0
1776577162,0
1776577177,0
1776577192,0
1776577207,0
1776577222,0
1776577237,0
1776577252,0
1776577267,0
1776577282,0
1776577297,0
1776577312,0
1776577327,0
1776577342,0
1776577357,0
1776577372,0
1776577387,0
1776577402,0
1776577417,0
1776577432,0
1776577447,0
1776577462,0
1776577477,0
1776577492,0
1776577507,0
1776577522,0
1776577537,22.327272727272724
1776577552,22.345454545454544
1776577567,22.345454545454544
1776577582,22.345454545454544
1776577597,0
1776577612,0
1776577627,0
1776577642,0
1776577657,0
1776577672,0
1776577687,0
1776577702,0
1776577717,0
1776577732,0
1776577747,0
1776577762,0
1776577777,0
1776577792,0
1776577807,0
1776577822,0
1776577837,0
1776577852,0
1776577867,0
1776577882,0
1776577897,0
1776577912,0
1776577927,0
1776577942,0
1776577957,0
1776577972,0
1776577987,0
1776578002,0
1776578017,0
1776578032,0
1776578047,0
1776578062,0
1776578077,0
1776578092,0
1776578107,0
1776578122,0
1776578137,0
1776578152,0
1776578167,0
1776578182,0
1776578197,0
1776578212,22.29090909090909
1776578227,22.30909090909091
1776578242,22.30909090909091
1776578257,22.30909090909091
1776578272,0.01818181818181818
1776578287,0
1776578302,0
1776578317,0
1776578332,0
1776578347,0
1776578362,0
1776578377,0
1776578392,0
1776578407,0.10909090909090909
1776578422,0.10909090909090909
1776578437,0.10909090909090909
